,day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
55,26,7,2012,36,53,19,0.0,89.2,17.1,98.6,10.0,23.9,15.3,fire
63,3,8,2012,35,63,14,0.3,76.6,5.7,10.0,1.7,5.5,0.8,not fire
64,4,8,2012,34,69,13,0.0,85.0,8.2,19.8,4.0,8.2,3.9,fire
76,16,8,2012,36,61,18,0.3,80.2,11.7,90.4,2.8,17.6,4.2,fire
92,1,9,2012,25,76,17,7.2,46.0,1.3,7.5,0.2,1.8,0.1,not fire
111,20,9,2012,28,84,18,0.0,83.8,13.5,49.3,4.5,16.0,6.3,fire
180,29,7,2012,34,59,16,0.0,88.1,19.5,47.2,7.4,19.5,10.9,fire
181,30,7,2012,36,56,16,0.0,88.9,23.8,57.1,8.2,23.8,13.2,fire
188,6,8,2012,30,54,14,3.1,70.5,11.0,9.1,1.3,10.5,0.8,not fire
225,12,9,2012,31,72,14,0.0,84.2,8.3,25.2,3.8,9.1,3.9,fire
